df_name,class_type,num_features,classifier,avg_accuracy,avg_precision,avg_recall,avg_f1score
df_05_00,multiclass,-6,Gradient Boosting,0.5290925131994321,0.48171516044273216,0.5290925131994321,0.46913110957963233
df_05_00,multiclass,-6,Nearest Neighbors,0.5035272466605092,0.508638455715585,0.5035272466605092,0.5019856429524825
df_05_00,multiclass,-6,Decision Tree,0.512657118043589,0.4374817699469822,0.512657118043589,0.44628147892540415
df_05_00,multiclass,-6,Random Forest,0.5197943232103224,0.47546875943625605,0.5197943232103224,0.44357159873596264
df_05_00,multiclass,-6,Neural Net,0.49796294509311984,0.3985759358382509,0.49796294509311984,0.3900253945826048
df_05_00,multiclass,-6,AdaBoost,0.5005383851890655,0.42119006077588406,0.5005383851890655,0.4282875559807726
df_05_00,multiclass,-6,Naive Bayes,0.42575405632676694,0.4578795931319403,0.42575405632676694,0.3633897428185858
df_05_00,multiclass,-13,Gradient Boosting,0.6830167503953205,0.6751241455580577,0.6830167503953205,0.6694973787004773
df_05_00,multiclass,-13,Nearest Neighbors,0.7909305075495726,0.7868718716249734,0.7909305075495726,0.7850972555818683
df_05_00,multiclass,-13,Decision Tree,0.6114015337036987,0.5946180497243614,0.6114015337036987,0.5950536556404596
df_05_00,multiclass,-13,Random Forest,0.5893080841298051,0.5427895646220735,0.5893080841298051,0.5355746716369075
df_05_00,multiclass,-13,Neural Net,0.6274612026140133,0.6032554346668901,0.6274612026140133,0.6022174396374147
df_05_00,multiclass,-13,AdaBoost,0.530586543709156,0.5236612070007983,0.530586543709156,0.5217600294124851
df_05_00,multiclass,-13,Naive Bayes,0.41403114985796446,0.45632199122876316,0.41403114985796446,0.40857274062896043
df_05_00,multiclass,-21,Gradient Boosting,0.7017290025285806,0.6981196484056649,0.7017290025285806,0.6879742782393208
df_05_00,multiclass,-21,Nearest Neighbors,0.8379563962772819,0.836303640552084,0.8379563962772819,0.8324336130468131
df_05_00,multiclass,-21,Decision Tree,0.6127710762716474,0.5922559643942505,0.6127710762716474,0.592797214845389
df_05_00,multiclass,-21,Random Forest,0.5903819091412448,0.5641430835401313,0.5903819091412448,0.5430793734784192
df_05_00,multiclass,-21,Neural Net,0.6554508837480456,0.6344421450585712,0.6554508837480456,0.6330571520426187
df_05_00,multiclass,-21,AdaBoost,0.5434449367715337,0.5401024111395164,0.5434449367715337,0.5331301707568702
